,DISTRICT_NAME,SUBCOUNTY_NAME,Crop,Yield
85,MOROTO,RUPA,sorghum_yield_Kg/ha,114.2709211
86,MOROTO,SOUTHERN DIVISION,sorghum_yield_Kg/ha,114.7955689
87,MOROTO,TAPAC,sorghum_yield_Kg/ha,155.8699345
88,NAKAPIRIPIRIT,KAKOMONGOLE,sorghum_yield_Kg/ha,398.9790051
89,NAKAPIRIPIRIT,LOLACHAT,sorghum_yield_Kg/ha,334.2843018
90,NAKAPIRIPIRIT,LOREGAE,sorghum_yield_Kg/ha,384.256293
91,NAKAPIRIPIRIT,LORENGEDWAT,sorghum_yield_Kg/ha,188.6996119
92,NAKAPIRIPIRIT,MORUITA,sorghum_yield_Kg/ha,430.5573751
93,NAKAPIRIPIRIT,NABILATUK,sorghum_yield_Kg/ha,259.4541224
94,NAKAPIRIPIRIT,NAKAPIRIPIRIT TOWN COUNCIL,sorghum_yield_Kg/ha,482.4387931
95,NAKAPIRIPIRIT,NAMALU,sorghum_yield_Kg/ha,560.3130703
96,NAPAK,IRIIRI,sorghum_yield_Kg/ha,229.2991573
97,NAPAK,LOKOPO,sorghum_yield_Kg/ha,120.8622322
98,NAPAK,LOPEEI,sorghum_yield_Kg/ha,108.1564114
99,NAPAK,LORENGECORA,sorghum_yield_Kg/ha,184.0811969
100,NAPAK,LOTOME,sorghum_yield_Kg/ha,128.5555976
101,NAPAK,MATANY,sorghum_yield_Kg/ha,130.0076868
102,NAPAK,NAPAK TOWN COUNCIL,sorghum_yield_Kg/ha,175.828068
103,NAPAK,NGOLERIET,sorghum_yield_Kg/ha,134.0840894
